Retail Sku,External ID,Sku Suffix,Retailskusuffix,Online Sku Suffix,Barcode,Alias
,UF11355,300-6,UF11355-0006,UF11355-0006,6.13902E+11,HideVariantWhenOutOfStock
,,300-1,UF58380-0001,UF58380-0001,6.13902E+11,HideVariantWhenOutOfStock
,,2416-1,UF58381-0001,UF58381-0001,6.13902E+11,HideVariantWhenOutOfStock
,,126-1,UF58382-0001,UF58382-0001,6.13902E+11,HideVariantWhenOutOfStock
,,143-1,UF58383-0001,UF58383-0001,6.13902E+11,HideVariantWhenOutOfStock
,,143-1,UF84423-0001,UF84423-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42030,2416-1,UF42030-0001,UF42030-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42030,300-1,UF42030-0002,UF42030-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF42060,2416-1,UF42060-0001,UF42060-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF42060,300-1,UF42060-0002,UF42060-0002,6.13902E+11,HideVariantWhenOutOfStock
,,,AIMMTQ073-MTQDR2,AIMMTQ073-MTQDR2,8.15879E+11,HideVariantWhenOutOfStock
,DIC874FBK-0010-tempt,2416-10,DIC874FBK-0010,DIC874FBK-0010,8.8944E+11,HideVariantWhenOutOfStock
,DIC874FBK-0010-tempt,2416-15,DIC874FBK-0015,DIC874FBK-0015,8.8944E+11,HideVariantWhenOutOfStock
,DIC874FBK-0010-tempt,166771-13,DIC874FDS-0013,DIC874FDS-0013,8.8944E+11,HideVariantWhenOutOfStock
,DIC874FBK-0010-tempt,166771-18,DIC874FDS-0018,DIC874FDS-0018,8.8944E+11,HideVariantWhenOutOfStock
,DIC874FBK-0010-tempt,166771-19,DIC874FDS-0019,DIC874FDS-0019,8.8944E+11,HideVariantWhenOutOfStock
,,,EEIP01848,EEIP01848,8.83714E+11,HideVariantWhenOutOfStock
,,99-1,EEIP16007,EEIP16007,8.83714E+11,HideVariantWhenOutOfStock
,,,EEIP63314,EEIP63314,8.83714E+11,HideVariantWhenOutOfStock
,,99-1,EEIPM0521,EEIPM0521,8.83714E+11,HideVariantWhenOutOfStock
,,303-4,FIE56565-026-0001,FIE56565-026-0001,8.88579E+11,HideVariantWhenOutOfStock
,,1832-1,FIE56657-134-0001,FIE56657-134-0001,8.88579E+11,HideVariantWhenOutOfStock
,,330-2,FIE56657-186-0001,FIE56657-186-0001,8.88579E+11,HideVariantWhenOutOfStock
,,1832-3,FIE56658-134-0001,FIE56658-134-0001,8.88579E+11,HideVariantWhenOutOfStock
,,330-2,FIE56658-186-0001,FIE56658-186-0001,8.88579E+11,HideVariantWhenOutOfStock
,,2416-1,FIE56682-019-0001,FIE56682-019-0001,8.88579E+11,HideVariantWhenOutOfStock
